Epoch:  149, Training time:    2.1999 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  150, Training time:    2.2094 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  151, Training time:    2.2190 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  152, Training time:    2.2284 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  153, Training time:    2.2379 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  154, Training time:    2.2473 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  155, Training time:    2.2569 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  156, Training time:    2.2663 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  157, Training time:    2.2757 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  158, Training time:    2.2852 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
Epoch:  159, Training time:    2.2945 hours, last lf: 0.050000, saved at /home/a01328525/Datasets_STED/runs_transformers/explain_STED_1001_nano_cbbox_bgr_diou_BitNet/
